Key Margins % of Sales,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,44.3,43.65,43.09,48.79,63.35,49.87,50.52,50.13,49.4,47.15,47.81
Gross Margin,55.7,56.35,56.91,51.21,36.65,50.13,49.48,49.87,50.6,52.85,52.19
SG&A,21.17,21.48,21.62,5.61,,5.74,6.83,6.93,7.18,6.4,6.18
R&D,,,,,,,,,,,
Other,27.87,25.74,44.76,31.1,22.2,32.2,31.5,32.28,32.01,34.89,34.2
Operating Margin,6.67,9.13,-9.48,14.51,14.45,12.19,11.15,10.66,11.42,11.57,11.81
Net Int Inc & Other,-32.09,-31.09,-29.88,-13.68,-15.42,-12.82,-11.75,-10.08,-14.81,-8.74,-8.48
EBT Margin,-25.42,-21.96,-39.36,0.82,-0.97,-0.63,-0.6,0.58,-3.39,2.83,3.34
