Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,,,,-1.0,-3.0,-4.0,-4.0,-1.0,-2.0,-5.0,-5.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,,,,-1.0,-3.0,-4.0,-4.0,-1.0,-2.0,4.0,4.0
Earnings Per Share AUD,,,,-0.02,-0.02,-0.02,-0.01,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,92.0,72.0,141.0,177.0,291.0,498.0,627.0,867.0,867.0
Book Value Per Share * AUD,,,,0.07,0.07,0.03,0.02,,,,0.01
Operating Cash Flow AUD Mil,,,,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
Cap Spending AUD Mil,,,,-2.0,-5.0,-2.0,-1.0,-0.0,-0.0,-2.0,-2.0
Free Cash Flow AUD Mil,,,,-2.0,-6.0,-2.0,-1.0,-1.0,-1.0,-3.0,-3.0
Free Cash Flow Per Share * AUD,,,,-0.03,-0.03,-0.04,-0.01,,,,
Working Capital AUD Mil,,,9.0,7.0,1.0,-0.0,-0.0,-1.0,-2.0,-1.0,
