Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,100.16,43.77,46.86,11.28,5.21,15.45,8.72,12.99,26.4,29.77,36.27
Free Cash Flow/Sales %,-94.6,-31.19,-31.09,-80.01,1.12,-1.05,-12.98,-2.46,15.56,2.59,-6.75
Free Cash Flow/Net Income,5.18,0.08,0.37,-0.66,0.19,-0.04,-0.18,-0.02,0.11,0.06,-0.11
