Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,39.66,42.82,43.63,40.74,42.21,46.99,41.55,42.73,44.53,48.44,40.97
Gross Margin,60.34,57.18,56.37,59.26,57.79,53.01,58.45,57.27,55.47,51.56,59.03
SG&A,16.96,17.85,17.64,14.94,15.06,16.53,13.84,12.91,13.99,15.82,13.17
R&D,11.67,12.79,12.75,11.47,13.21,16.11,15.8,16.28,17.14,16.0,14.07
Other,2.58,0.71,0.13,0.96,0.85,9.09,5.05,8.26,8.12,11.65,12.46
Operating Margin,29.13,25.83,25.85,31.88,28.67,11.29,23.76,19.82,16.21,8.09,19.33
Net Int Inc & Other,4.76,-0.14,-0.75,-0.91,-1.22,-1.67,-1.37,-3.71,-3.27,-5.46,-5.68
EBT Margin,33.89,25.69,25.09,30.98,27.45,9.62,22.39,16.11,12.94,2.63,13.64
