Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,65.59,66.28,66.35,66.5,67.12,67.26,71.59,72.88,75.44,76.73,76.86
Gross Margin,34.41,33.72,33.65,33.5,32.88,32.74,28.41,27.12,24.56,23.27,23.14
SG&A,22.43,22.54,22.68,,22.75,,20.22,19.33,18.1,18.12,18.23
R&D,,,,,,,,,,,
Other,,,,22.49,,22.99,,,,,
Operating Margin,11.98,11.19,10.97,11.01,10.13,9.75,8.19,7.79,6.46,5.15,4.9
Net Int Inc & Other,-0.06,-0.86,-0.5,-0.59,-0.8,-0.92,-0.91,-0.77,-0.85,-0.66,-0.74
EBT Margin,11.92,10.33,10.47,10.42,9.33,8.83,7.29,7.01,5.6,4.49,4.17
