Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,,,,,481.0,515.0,534.0,2165.0,2963.0,2783.0,2701.0
Gross Margin %,,,,,72.7,72.9,72.4,59.3,63.2,71.6,73.5
Operating Income AUD Mil,,,,,1116.0,943.0,821.0,1188.0,2017.0,1956.0,1952.0
Operating Margin %,,,,,232.0,183.4,153.7,54.9,68.1,70.3,72.3
Net Income AUD Mil,,,,,976.0,830.0,777.0,6586.0,2708.0,2991.0,3248.0
Earnings Per Share AUD,,,,,0.32,0.27,0.26,1.66,0.51,0.56,0.61
Dividends AUD,,,,,0.09,0.18,0.19,0.2,0.22,0.21,0.23
Payout Ratio % *,,,,,,65.2,70.2,161.7,22.7,40.1,36.9
Shares Mil,,,,3054.0,3054.0,3054.0,3007.0,3973.0,5327.0,5327.0,5326.0
Book Value Per Share * AUD,,,,,3.21,3.42,3.49,2.8,3.11,3.43,3.82
Operating Cash Flow AUD Mil,,,,,669.0,735.0,734.0,1884.0,1772.0,1117.0,1102.0
Cap Spending AUD Mil,,,,,,,,-20.0,-29.0,-15.0,-13.0
Free Cash Flow AUD Mil,,,,,669.0,735.0,734.0,1865.0,1743.0,1102.0,1089.0
Free Cash Flow Per Share * AUD,,,,,,0.24,0.23,0.46,0.35,0.27,
Working Capital AUD Mil,,,,-676.0,-1306.0,-55.0,-316.0,-287.0,-3232.0,-1419.0,
